Column Name,kPB,?CH2,?T/O,?C/P,?B/P pH 7.6,?B/P pH 2.7,Type*,Particle Size** [µm],TPP/SPP,Pore Size [A]
Acclaim 120 C18 3.0 µm,7.82,1.52,1.41,0.45,0.39,0.08,C18,3,TPP,120
Acclaim Mixed mode HILIC 5um,0.55,1.25,1.9,1.19,2.18,0.06,Diol,5,TPP,120
Acclaim Mixed mode WAX 5um,0.77,1.29,2.45,0.06,0.09,-0.1,Alkyl/WAX,5,TPP,120
Acclaim Mixed mode WCX 5um,0.66,1.16,3.33,0.48,1.84,0.05,Alkyl/WCX,5,TPP,120
Acclaim PA C16,4.16,1.4,2.71,0.34,0.27,0.04,PEG,5,TPP,120
Acclaim PA2 C18 3.0 µm,4.28,1.45,1.87,0.26,0.34,0.05,C18,3,TPP,120
Acclaim RSLC 120 C18 2.2 µm,7.62,1.51,1.37,0.44,0.38,0.1,C18,2.2,TPP,120
Acclaim RSLC PA2 C18 2.2 µm,4.92,1.44,1.92,0.22,0.52,0.07,C18,2.2,TPP,120
Accucore C18,4.44,1.48,1.61,0.36,0.43,0.1,C18,2.6,SPP,150
ACE 3 C18,5.22,1.48,1.59,0.39,0.32,0.11,C18,3,TPP,100
ACE 3 C18-300,2.41,1.46,1.58,0.37,0.38,0.11,C18,3,TPP,300
ACE 3 C18-AR,4.33,1.42,1.75,0.76,0.42,0.13,Phenyl,3,TPP,100
ACE 3 C18HL,7.95,1.5,1.6,0.38,0.32,0.08,C18,3,TPP,90
ACE 3 C18-PFP,4.34,1.39,3.04,0.54,0.31,0.11,PFP,5,TPP,100
ACE 3 C4,1.09,1.29,0.71,0.44,0.37,0.14,C4,3,TPP,100
ACE 3 C4-300,0.49,1.28,0.73,0.46,0.49,0.17,C4,3,TPP,300
ACE 3 C8,2.41,1.36,1,0.34,0.31,0.11,C8,3,TPP,100
ACE 3 C8-300,1.38,1.31,1,0.35,0.42,0.19,C8,3,TPP,300
ACE 3 CN,0.18,1,1.88,0.68,0,0.16,CN,3,TPP,100
ACE 3 CN-300,0.29,1,1,1.28,0,0.33,CN,3,TPP,300
ACE 3 phenyl,1.14,1.27,1.03,1.25,0.59,0.16,Phenyl,5,TPP,100
ACE 3 Phenyl-300,0.55,1.25,1.03,1.28,0.61,0.23,Phenyl,3,TPP,300
ACE 5 AQ,2.53,1.36,1.26,0.48,0.36,0.11,PEG,5,TPP,100
ACE 5 C18,5.44,1.48,1.56,0.38,0.32,0.11,C18,5,TPP,100
ACE 5 C18-300,2.41,1.47,1.61,0.35,0.34,0.11,C18,5,TPP,300
ACE 5 C18-AR,4.5,1.42,1.74,0.75,0.35,0.12,Phenyl,5,TPP,100
ACE 5 C18-AR-300,1.95,1.41,1.8,0.71,0.44,0.08,Phenyl,5,TPP,300
ACE 5 C18-PFP,4.33,1.38,3.09,0.53,0.3,0.1,PFP,5,TPP,100
ACE 5 C18-PFP-300,1.85,1.36,3.02,0.52,0.35,0.11,PFP,5,TPP,300
ACE 5 C8,2.36,1.36,1,0.34,0.31,0.11,C8,5,TPP,100
ACE 5 CN,0.26,1.08,1.73,0.51,0,0.15,CN,5,TPP,100
ACE 5 Phenyl,1.2,1.26,1,1.14,0.46,0.14,Phenyl,5,TPP,100
ACE 5 SuperC18,7.93,1.49,1.46,0.44,0.18,0.11,C18,5,TPP,90
ACE C18 2um,5.47,1.47,1.51,0.38,0.25,0.11,C18,2,TPP,100
ACE C18-Amide 10 µm,4.17,1.39,2.07,0.26,0.21,0.07,PEG,10,TPP,100
ACE C18-Amide 3 µm,4.03,1.41,2.07,0.26,0.21,0.08,PEG,3,TPP,100
ACE C18-Amide 5 µm,4.3,1.41,2.11,0.25,0.2,0.07,PEG,5,TPP,100
ACE C18-AR 2um,4.35,1.41,1.71,0.75,0.29,0.12,Phenyl,2,TPP,100
ACE C18-PFP 2um,4.81,1.38,2.98,0.53,0.24,0.11,PFP,2,TPP,100
ACE CN-ES 2um,2.34,1.3,4.44,0.17,0,0.04,Cyano,2,TPP,100
ACE CN-ES 3um,2.14,1.3,4.5,0.18,0,0.04,Cyano,3,TPP,100
ACE CN-ES 5um,2.19,1.3,4.57,0.17,0.22,0.05,Cyano,5,TPP,100
ACE Super C18 2um,8.1,1.48,1.44,0.42,0.22,0.1,C18,3.5,TPP,90
ACE Super C18 3um,7.28,1.47,1.42,0.43,0.23,0.11,C18,3,TPP,90
ACE Ultracore Super phenyl hexyl 2.5um,2.63,1.36,1.11,0.68,0.32,0.09,Phenyl,2.5,SPP,95
ACE Ultracore Super phenyl hexyl 5um,2.5,1.37,1.1,0.67,0.31,0.09,Phenyl,5,SPP,95
ACE UltraCore SuperC18 2.5um,6.33,1.49,1.46,0.39,0.32,0.09,C18,2.5,TPP,95
ACE UltraCore SuperC18 5um,5.61,1.5,1.45,0.4,0.32,0.1,C18,5,TPP,95
ACME Amide C18,3.44,1.41,1.77,0.29,0.19,0.07,PEG,3,TPP,120
ACME C18,5.32,1.48,1.3,0.48,0.28,0.13,C18,3,TPP,120
ACME F5/C18,5.88,1.46,1.63,0.45,0.35,0.17,PFP and C18,3,TPP,120
ACME IQ C18,6.4,1.5,1.41,0.43,0.27,0.12,C18,3,TPP,120
ACME IQHL C18,10.09,1.5,1.48,0.41,0.26,0.1,C18,3,TPP,100
ACME Plus,4.3,1.48,1.4,0.41,0.39,0.12,C18,3,TPP,120
Acquity BEH C8,1.16,1.34,0.86,0.59,0.31,0.13,C8,1.7,TPP,130
Acquity BEH Phenyl 1.7µm,1.64,1.3,1,0.85,0.41,0.18,Phenyl,1.7,TPP,130
Acquity BEH Shield RP18 1.7 µm,2.08,1.41,2.36,0.3,0.27,0.13,PEG,1.7,TPP,130
Acquity CSH C18 1.7um,3.53,1.44,1.35,0.4,0.38,0.09,C18,1.7,TPP,130
Acquity CSH Fluorophenyl 1.7um,0.46,1,3.1,1.72,1.24,-0.06,PFP,1.7,TPP,130
Acquity CSH Phenyl hexyl 1.7um,1.47,1.31,1.13,0.7,0.42,0.07,Phenyl,1.7,TPP,130
Acquity HSS C18 1.8 µm,7.38,1.48,1.47,0.37,0.24,0.11,C18,1.8,TPP,100
Acquity HSS C18 SB 1.8 µm,2.57,1.39,1.94,1.86,4.99,0.16,C18,1.8,TPP,100
Acquity HSS T3 1.8 µm,6.02,1.5,1.19,0.5,0.34,0.12,C18,1.8,TPP,100
Acquity UPLC BEH C18 130 1.7 µm,3.99,1.47,1.38,0.37,0.23,0.09,C18,1.7,TPP,130
Acquity UPLC BEH C18 300 1.7 µm,1.97,1.48,1.41,0.38,0.22,0.11,C18,1.7,TPP,300
Aeris PEPTIDE 3.6u XB-C18,4.2,1.48,1.16,0.49,0.56,0.1,C18,3.6,SPP,100
Aeris Widepore 3.6 µm C4,0.39,1.06,0.85,0.39,0.42,0.16,C4,3.6,SPP,200
Aeris Widepore 3.6 µm XB-C18,1.15,1.44,1.16,0.52,0.6,0.16,C18,3.6,SPP,200
Agilent prep LC C18,8.79,1.49,1.55,0.39,0.51,0.17,C18,5,TPP,100
AIDA C18,4.84,1.52,1.35,0.42,0.3,0.09,C18,5,SPP,120
Alltima HP C18,2.47,1.43,2.79,0.26,0.35,0.04,C18,5,TPP,190
Alltima HP C18 Amide,2.48,1.43,2.74,0.27,0.35,0.03,PEG,5,TPP,190
Alltima HP C18 AQ,4.23,1.42,1.97,1.1,3.1,0.1,Aqua,5,TPP,190
Alltima HP C18 EPS,0.61,1.34,1.95,2.25,4.35,0.2,C18,5,TPP,190
Alltima HP C18 HL,7.84,1.51,1.57,0.39,0.4,0.1,C18,5,TPP,190
Allure biphenyl,3.73,1.33,1.55,2.21,0.81,0.05,Biphenyl,5,TPP,60
Allure C18,10.46,1.58,1.58,0.39,0.65,0.09,C18,5,TPP,60
Allure PFP propyl,3.04,1.28,2.69,0.68,1.13,0.34,PFP,5,TPP,60
Allure phenyl,1.75,1.27,0.96,0.94,0.52,0.15,Phenyl,5,TPP,60
Aquasil C18,4.14,1.41,1.84,1.18,2.29,0.16,C18,5,TPP,100
Ascentis Amide RP 3um,4.9,1.43,1.65,0.22,0.2,0.04,PEG,3,TPP,100
Ascentis Amide RP 5um,4.8,1.43,1.61,0.23,0.2,0.04,PEG,5,TPP,100
Ascentis C18,7.35,1.5,1.59,0.37,0.31,0.08,C18,5,TPP,100
Ascentis C8,3.61,1.41,0.93,0.31,0.25,0.07,C8,5,TPP,100
Ascentis Express Biphenyl,1.69,1.29,1.53,2.3,0.96,0.16,Biphenyl,2.7,SPP,90
Ascentis Express C18,5.39,1.5,1.42,0.42,0.7,0.1,C18,2.7,SPP,90
Ascentis Express C8,2.34,1.41,0.94,0.29,0.27,0.08,C8,2.7,SPP,90
Ascentis Express PFP,1.32,1.26,2.52,0.74,1.66,0.34,PFP,2.7,SPP,90
Ascentis Express Phenyl hexyl,2.17,1.34,1.2,0.88,0.46,0.11,Phenyl,2.7,SPP,90
Ascentis Express RP-Amide,3.87,1.43,1.79,0.22,0.25,0.06,PEG,2.7,SPP,90
Ascentis phenyl,2.32,1.31,1,0.96,0.44,0.14,Phenyl,0,TPP,100
Astec Polymer C18,4.92,1.35,4.09,0.15,0.04,0.01,C18,5,TPP,300
Atlantis dC18,3.74,1.45,1.23,0.61,0.56,0.11,C18,5,TPP,100
Atlantis T3,5.48,1.47,1.17,0.49,0.25,0.11,C18,3,TPP,100
BetaBasic C18,4.49,1.47,1.56,0.39,0.8,0.12,C18,5,TPP,150
BetaBasic CN,0.18,1.06,1.82,0.43,0.77,0.17,CN,5,TPP,150
BetaBasic phenyl,0.39,1.21,0.92,1,0.64,0.19,Phenyl,5,TPP,150
BetaMax Acid,2.84,1.33,2.04,0.29,0.55,-0.03,C8,5,TPP,60
BetaMax Basic (CN),0.37,1.04,2.04,0.42,1.7,0.19,CN,5,TPP,60
BetaMax Neutral C18,10.62,1.49,1.5,0.4,1,0.1,C18,5,TPP,60
Betasil phenyl-hexyl,1.78,1.32,0.75,0.42,0.39,0.12,Phenyl,5,TPP,100
BIOshell Peptide C18,2.26,1.45,1.21,0.75,1,0.13,C18,2.7,SPP,160
Capcell Pak AQ C18,3.97,1.42,1.31,0.62,0.67,0.11,Aqua,5,TPP,80
Capcell Pak MGII C18,6.52,1.48,1.31,0.44,0.31,0.11,C18,5,TPP,100
Chromolith C18,2.36,1.47,1.43,0.43,0.63,0.09,C18,0,TPP,130
Cortecs C18,4.51,1.48,1.38,0.39,0.38,0.1,C18,1.6,SPP,90
Cortecs C18+,4.12,1.51,1.49,0.55,1,0.08,C18,1.6,SPP,90
Cosmosil 3 C18-EB,4.8,1.46,1.29,0.59,0.38,0.11,C18,3,TPP,120
Cosmosil 5 PYE 5um,1.95,1.37,3.02,24.1,0.58,0.2,Aromatic,5,TPP,120
Cosmosil cholester 5um,5.24,1.49,3.26,0.39,0.23,0.03,C18 like,5,TPP,120
Cosmosil ?-NAP 5um,1.74,1.35,1.51,4.08,0.34,0.1,Aromatic,5,TPP,120
Curosil PFP,1.77,1.27,2.49,0.71,0.85,0.1,PFP,5,TPP,110
Denali C18,6.47,1.48,1.69,0.38,0.33,0.1,C18,5,TPP,120
Develosil ODS-MG-5,6.7,1.49,1.24,0.51,0.1,0.07,C18,5,TPP,100
Discovery C18,3.32,1.48,1.51,0.39,0.28,0.1,C18,5,TPP,180
Discovery C18 HS,6.68,1.49,1.55,0.4,0.38,0.1,C18,5,TPP,120
Discovery C8,1.1,1.34,1,0.43,0.41,0.09,C8,5,TPP,180
Discovery CN,0.29,1,1,1,1.6,0.55,CN,5,TPP,180
Discovery F5 HS,1.7,1.26,2.55,0.68,0.85,0.34,PFP,5,TPP,120
Discovery PEG HS,0.23,1.06,2.57,0.02,0.07,-0.04,Polyethylene glycol,5,TPP,120
Discovery RP-amide C16,1.65,1.35,1.81,0.49,0.44,0.19,PEG,5,TPP,180
EU Column,6.19,1.46,1.5,0.56,1,0.12,C18,5,TPP,114
Fluofix (ec),0.57,1.24,0.58,0.81,2.06,0.38,Fluoroalkyl,5,TPP,120
Fluofix (nec),0.48,1.2,0.67,1.37,3.9,0.26,Fluoroalkyl,5,TPP,120
Fluophase PFP,1.6,1.23,2.5,0.63,0.7,0.3,PFP,5,TPP,100
Fluophase RP,0.98,1.21,0.62,0.73,2.12,0.6,Fluoroalkyl,5,TPP,100
FluoroSep RP Octyl,1.44,1.23,0.63,0.75,4.12,0.52,Fluoroalkyl,5,TPP,60
FluoroSep RP Phenyl HS,3.31,1.29,2.72,0.65,0.74,0.19,PFP,5,TPP,60
FluoroSep RP Propyl,0.16,1.15,1,1.15,1.47,0.39,Fluoroalkyl,5,TPP,300
Fortis C18 1.7 µm,6.72,1.49,1.26,0.48,0.26,0.07,C18,1.7,TPP,110
Fortis C18 5 µm,7.04,1.48,1.27,0.5,0.33,0.08,C18,5,TPP,110
Fortis cyano C18 2.1 µm,0.21,1,1,0.67,2.09,0.2,CN,2.1,TPP,110
Fortis cyano C18 5 µm,0.17,1,1,0.69,1.86,0.19,CN,5,TPP,110
Fortis Diphenyl,1.54,1.31,0.93,0.81,0.56,0.07,Diphenyl,1.7,TPP,100
Fortis H2O,7.42,1.5,1.64,0.41,1.56,0.1,Aqua,5,TPP,110
Gemini C18,4.87,1.46,1.21,0.44,0.29,0.08,C18,5,TPP,110
Gemini NX C18,4.87,1.46,1.11,0.34,0.3,0.09,C18,5,TPP,110
Gemini phenyl hexyl,2.79,1.36,1.04,0.6,0.3,0.05,Phenyl,5,TPP,110
Genesis AQ,6.07,1.49,1.26,0.53,0.42,0.11,Aqua,5,TPP,120
Genesis C18,6.25,1.5,1.41,0.44,0.29,0.1,C18,5,TPP,120
Genesis C8,2.09,1.33,1.01,0.55,0.6,0.12,C8,5,TPP,120
Genesis CN,0.22,1.16,1.9,0.6,1,0.18,CN,5,TPP,120
GraceSmart RP 18,2.37,1.44,1.32,0.8,1.65,0.1,C18,5,TPP,120
Grom-Sil 100 ODS-2FE,4.68,1.46,1.72,0.59,0.72,0.17,C18,5,TPP,100
Grom-Sil ODS-0 AB,3.46,1.45,1.4,0.72,0.67,0.19,C18,5,TPP,100
Grom-Sil ODS-4 HE,6.28,1.5,1.27,0.54,0.31,0.1,C18,5,TPP,120
Grom-Sil ODS-7 pH,13.68,1.54,1.53,0.39,0.32,0.06,C18,4,TPP,80
HALO C18,6.01,1.51,1.38,0.42,0.3,0.1,C18,2.7,SPP,90
HALO C18 Peptide (Ascentis Peptide),2.65,1.45,1.22,0.72,0.57,0.13,C18,2.7,SPP,160
Halo C8,2.68,1.4,0.93,0.29,0.31,0.08,C18,2.7,SPP,90
Halo PFP,1.45,1.24,2.43,1.09,1.95,0.36,PFP,2.7,SPP,90
Halo RP amide,3.42,1.42,1.75,0.25,0.65,0.06,PEG,2.7,SPP,90
Helix STS,0.37,1.43,2.52,1,4.13,0.15,C18,5,TPP,0
Hichrom C8 3.5um,2.22,1.35,1.01,0.38,0.49,0.12,C8,3.5,TPP,150
Hichrom RPB,4.56,1.4,1.21,0.36,0.18,0.11,C8/C18,5,TPP,110
HiQ Sil C18,6.02,1.46,1.45,0.67,0.88,0.12,C18,5,TPP,120
Hypersil 100 HS C18,7.66,1.53,1.4,0.42,1.01,0.25,C18,5,TPP,100
Hypersil BDS C18,4.5,1.47,1.49,0.39,0.19,0.17,C18,5,TPP,130
Hypersil BDS phenyl,0.52,1.24,1,0.85,0.56,0.25,Phenyl,5,TPP,130
Hypersil Duet Cation,1.98,1.48,1.55,1.28,7.36,13.63,Alkyl/SCX,5,TPP,120
Hypersil Elite C18,4.76,1.49,1.52,0.37,0.3,0.14,C18,5,TPP,120
Hypersil GOLD,2.42,1.42,1.3,0.34,0.35,0.12,C12,5,TPP,175
Hypersil GOLD aQ,2.09,1.44,2.33,0.69,1.42,0.12,Aqua,5,TPP,175
Hypersil GOLD PFP,0.7,1.25,2.55,1.02,0.94,0.17,PFP,5,TPP,175
Hypersil Gold PFP 1.9 µm,0.53,1.11,2.45,1.15,1.63,0.34,PFP,1.9,TPP,175
Hypersil Gold PFP 3.0 µm,0.78,1.21,2.37,0.58,0.58,0.17,PFP,3,TPP,175
Hypersil GOLD phenyl 3um,0.88,1.3,1.04,1.04,0.44,0.12,Phenyl,3,TPP,175
Hypersil ODS,4.44,1.45,1.28,0.38,1.04,0.64,C18,5,TPP,120
Hypersil phenyl,0.47,1.25,0.92,2.04,2,0.85,Phenyl,5,TPP,120
HyPURITY Advance (C8),1.13,1,1.59,0.39,0.8,0.13,PEG,5,TPP,190
HyPURITY AQUASTAR,1.32,1.39,2.65,1.25,2.66,0.13,Aqua,5,TPP,190
HyPURITY C18,3.2,1.47,1.6,0.37,0.29,0.1,C18,5,TPP,190
HyPURITY C4,0.55,1.3,0.72,0.44,0.3,0.1,C4,5,TPP,190
HyPURITY C8,1.59,1.35,1,0.34,0.3,0.11,C8,5,TPP,190
HyPURITY CN,0.08,1.12,1.87,0.81,2.21,0.08,CN,5,TPP,190
Inertsil CN3,0.57,1.04,1.97,0.26,3.27,0.03,CN,5,TPP,100
Inertsil ODS,6.31,1.47,1.57,0.36,0.53,0.01,C18,5,TPP,100
Inertsil ODS3,7.74,1.45,1.29,0.48,0.29,0.01,C18,5,TPP,100
Inertsil phenyl,1.03,1.26,1,1.04,0.57,0.09,Phenyl,5,TPP,150
InertSustain C18,8.35,1.48,1.21,0.42,0.29,0.1,C18,5,TPP,100
Interchrom RPX 2.2 µm,5.44,1.45,1.25,0.67,0.91,0.08,Proprietary,2.2,TPP,100
J'Sphere JH ODS,10.6,1.51,1.59,0.39,0.43,0.06,C18,0,TPP,80
Jupiter 3 µm C18 300A,2.57,1.45,1.44,0.37,0.36,0.12,C18,3,TPP,300
Kinetex Biphenyl,1.81,1.31,1.52,2.14,0.8,0.16,Biphenyl,2.6,SPP,100
